Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,2.562,2.582,2.553,2.726,2.925,2.901,2.879,2.883,2.886,2.831,2.641,2.479
2019,2.313,2.317,2.503,2.705,2.825,2.652,2.702,2.606,2.538,2.516,2.514,2.518
2020,2.540,2.446,2.227,1.932,1.887,2.018,2.084,2.085,2.079,2.037,2.020,2.113
2021,2.287,2.473,2.739,2.755,2.910,3.051,3.109,3.136,3.174,3.356,3.511,3.486
2022,3.450,3.595,4.296,4.087,4.570,4.994,4.637,4.204,3.659,3.600,NA,NA
