Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,3.073,3.197,3.257,3.417,3.554,3.560,3.511,3.470,3.503,3.634,3.533,3.319
2019,3.158,3.119,3.213,3.661,3.801,3.628,3.531,3.423,3.472,3.784,3.709,3.441
2020,3.341,3.307,3.161,2.726,2.619,2.783,2.918,2.983,3.000,2.963,2.910,2.926
2021,3.024,3.171,3.495,3.618,3.811,4.047,4.165,4.228,4.233,4.292,4.411,4.421
2022,4.441,4.520,5.379,5.458,5.687,6.099,5.782,5.270,5.318,5.825,NA,NA
